isIso_iff_leftInv_and_rightInv	thm	Freyd/S1_14.lean	86	∀ {𝒞 : Type u} [inst : Cat 𝒞] {X Y : 𝒞} (f : Cat.Hom X Y), IsIso f ↔ LeftInvertible f ∧ RightInvertible f	§1.17 `f` is an isomorphism iff it is both left- and right-invertible.	2942747647	360
unique_left_inv	thm	Freyd/S1_14.lean	95	∀ {𝒞 : Type u} [inst : Cat 𝒞] {X Y : 𝒞} {f : Cat.Hom X Y}, IsIso f → ∀ {y z : Cat.Hom Y X}, Cat.comp y f = Cat.id Y → Cat.comp z f = Cat.id Y → y = z	§1.17 An isomorphism has a UNIQUE left-inverse.	283949066	227
unique_right_inv	thm	Freyd/S1_14.lean	101	∀ {𝒞 : Type u} [inst : Cat 𝒞] {X Y : 𝒞} {f : Cat.Hom X Y}, IsIso f → ∀ {y z : Cat.Hom Y X}, Cat.comp f y = Cat.id X → Cat.comp f z = Cat.id X → y = z	§1.17 An isomorphism has a UNIQUE right-inverse.	1848659789	225
isIso_inv	thm	Freyd/S1_14.lean	107	∀ {𝒞 : Type u} [inst : Cat 𝒞] {X Y : 𝒞} {f : Cat.Hom X Y}, IsIso f → ∃ g, IsIso g	§1.17 The INVERSE of an isomorphism is an isomorphism (and its unique inverse is f):	69587737	182
Groupoid	ind	Freyd/S1_14.lean	116	Type u → Type (max u (v + 1))	§1.17 A GROUPOID is a category in which every morphism is an isomorphism.	9183558934510674885	0
Groupoid.toCat	instance	Freyd/S1_14.lean	117	{𝒢 : Type u} → [self : Groupoid 𝒢] → Cat 𝒢		15399899771615851587	7
Groupoid.iso_all	thm	Freyd/S1_14.lean	118	∀ {𝒢 : Type u} [self : Groupoid 𝒢] {X Y : 𝒢} (f : Cat.Hom X Y), ∃ g, Cat.comp f g = Cat.id X ∧ Cat.comp g f = Cat.id Y		2902824148	7
Group'	ind	Freyd/S1_14.lean	121	Type u → Type u	§1.17 A GROUP is a one-object groupoid: a groupoid with a single object.	15930389788979041033	0
Group'.toMonoid'	instance	Freyd/S1_14.lean	122	{G : Type u} → [self : Group' G] → Monoid' G		13259592554023589597	7
Group'.inv	def	Freyd/S1_14.lean	123	{G : Type u} → [self : Group' G] → G → G		4297430104119974847	7
Group'.mul_inv	thm	Freyd/S1_14.lean	124	∀ {G : Type u} [self : Group' G] (x : G), Monoid'.mul x (Group'.inv x) = Monoid'.one		1886699619	7
Group'.inv_mul	thm	Freyd/S1_14.lean	125	∀ {G : Type u} [self : Group' G] (x : G), Monoid'.mul (Group'.inv x) x = Monoid'.one		3913509573	7
group'ToGroupoid	def	Freyd/S1_14.lean	127	(G : Type u) → [gr : Group' G] → Groupoid PUnit	A `Group'` gives a one-object `Groupoid`.	12611708620199632734	58
ContraFunctor	ind	Freyd/S1_14.lean	141	{C : Type u₁} → [Cat C] → {D : Type u₂} → [Cat D] → (C → D) → Type (max u₁ v)	§1.182 A CONTRAVARIANT FUNCTOR `F : C → D` reverses direction and swaps	8680680673176443634	0
ContraFunctor.map	def	Freyd/S1_14.lean	144	{C : Type u₁} → {inst : Cat C} → {D : Type u₂} → {inst_1 : Cat D} → {F : C → D} → [self : ContraFunctor F] → {X Y : C} → Cat.Hom X Y → Cat.Hom (F Y) (F X)		10236340632606536376	25
ContraFunctor.map_id	thm	Freyd/S1_14.lean	145	∀ {C : Type u₁} {inst : Cat C} {D : Type u₂} {inst_1 : Cat D} {F : C → D} [self : ContraFunctor F] (X : C), ContraFunctor.map (Cat.id X) = Cat.id (F X)		677328381	25
ContraFunctor.map_comp	thm	Freyd/S1_14.lean	146	∀ {C : Type u₁} {inst : Cat C} {D : Type u₂} {inst_1 : Cat D} {F : C → D} [self : ContraFunctor F] {X Y Z : C} (f : Cat.Hom X Y) (g : Cat.Hom Y Z), ContraFunctor.map (Cat.comp f g) = Cat.comp (ContraFunctor.map g) (ContraFunctor.map f)		3285595978	25
contraToCovar	def	Freyd/S1_14.lean	149	{C : Type u₁} → [cat_C : Cat C] → {D : Type u₂} → [inst : Cat D] → (F : C → D) → [hF : ContraFunctor F] → Functor (OppCat C) D	§1.182 A contravariant functor `F : C → D` is the same as a covariant	8056578158827001706	108
toOpContra	def	Freyd/S1_14.lean	159	(C : Type u) → [cat : Cat C] → ContraFunctor fun X => X	§1.182 The identity `C → Cᵒᵖ` is a contravariant functor.	10505952834633588588	38
CatIso	ind	Freyd/S1_14.lean	170	{C : Type u₁} → [inst : Cat C] → {D : Type u₂} → [inst_1 : Cat D] → Functor C D → Type (max (max u₁ u₂) v)	§1.1(10) A CATEGORY ISOMORPHISM from `C` to `D`: a functor `F : C → D`	11049109385029605968	0
CatIso.inv	abbrev	Freyd/S1_14.lean	176	{C : Type u₁} → [inst : Cat C] → {D : Type u₂} → [inst_1 : Cat D] → {F : Functor C D} → CatIso F → Functor D C		4409139360643262691	29
CatIso.left_id	thm	Freyd/S1_14.lean	177	∀ {C : Type u₁} [inst : Cat C] {D : Type u₂} [inst_1 : Cat D] {F : Functor C D} (self : CatIso F) (X : C), self.inv.obj (F.obj X) = X		1423573624	29
CatIso.right_id	thm	Freyd/S1_14.lean	178	∀ {C : Type u₁} [inst : Cat C] {D : Type u₂} [inst_1 : Cat D] {F : Functor C D} (self : CatIso F) (Y : D), F.obj (self.inv.obj Y) = Y		980435166	29
catIsoId	def	Freyd/S1_14.lean	180	(C : Type u₁) → [inst : Cat C] → CatIso idFunctor	§1.1(10) The identity functor is a self-isomorphism.	11965280300242148354	22
catIsoComp	def	Freyd/S1_14.lean	184	{C : Type u₁} → [inst : Cat C] → {D : Type u₂} → [inst_1 : Cat D] → {E : Type u_1} → [inst_2 : Cat E] → (F : Functor C D) → (G : Functor D E) → CatIso F → CatIso G → CatIso (compFunctor F G)	§1.1(10) Isomorphisms of categories compose.	8775061016934740315	114
LeftInvertible	def	Freyd/S1_17.lean	17	{𝒞 : Type u} → [inst : Cat 𝒞] → {X Y : 𝒞} → Cat.Hom X Y → Prop	§1.17 `f : X ⟶ Y` is LEFT-INVERTIBLE if some `y : Y ⟶ X` satisfies `y ≫ f = id_Y`.	11359832834139645668	47
RightInvertible	def	Freyd/S1_17.lean	21	{𝒞 : Type u} → [inst : Cat 𝒞] → {X Y : 𝒞} → Cat.Hom X Y → Prop	§1.17 `f : X ⟶ Y` is RIGHT-INVERTIBLE if some `z : Y ⟶ X` satisfies `f ≫ z = id_X`.	1946191349485824338	47
Functor	ind	Freyd/S1_18.lean	49	(C : Type u₁) → (D : Type u₂) → [Cat C] → [Cat D] → Type (max (max u₁ u₂) v)	§1.18 A functor from `𝒞` to `𝒟`, bundled as one structure:	10799905720639777840	0
Functor.obj	abbrev	Freyd/S1_18.lean	62	{C : Type u₁} → {D : Type u₂} → [inst : Cat C] → [inst_1 : Cat D] → Functor C D → C → D		5052394930029449319	21
Functor.map	abbrev	Freyd/S1_18.lean	63	{C : Type u₁} → {D : Type u₂} → [inst : Cat C] → [inst_1 : Cat D] → (self : Functor C D) → {X Y : C} → Cat.Hom X Y → Cat.Hom (self.obj X) (self.obj Y)		17844996243134093810	21
